code,name,id,region:id
2002,VARDØ,no_2002,no_nor
2003,VADSØ,no_2003,no_nor
2004,HAMMERFEST,no_2004,no_nor
2011,GUOVDAGEAIDNU KAUTOKEINO,no_2011,no_nor
2012,ALTA,no_2012,no_nor
2014,LOPPA,no_2014,no_nor
2015,HASVIK,no_2015,no_nor
2017,KVALSUND,no_2017,no_nor
2018,MÅSØY,no_2018,no_nor
2019,NORDKAPP,no_2019,no_nor
2020,PORSANGER PORSÁNGU PORSANKI,no_2020,no_nor
2021,KARASJOHKA KARASJOK,no_2021,no_nor
2022,LEBESBY,no_2022,no_nor
2023,GAMVIK,no_2023,no_nor
2024,BERLEVÅG,no_2024,no_nor
2025,DEATNU TANA,no_2025,no_nor
2027,UNJARGGA NESSEBY,no_2027,no_nor
2028,BÅTSFJORD,no_2028,no_nor
2030,SØR-VARANGER,no_2030,no_nor
0101,HALDEN,no_0101,no_nor
0104,MOSS,no_0104,no_nor
0105,SARPSBORG,no_0105,no_nor
0106,FREDRIKSTAD,no_0106,no_nor
0111,HVALER,no_0111,no_nor
0118,AREMARK,no_0118,no_nor
0119,MARKER,no_0119,no_nor
0121,RØMSKOG,no_0121,no_nor
0122,TRØGSTAD,no_0122,no_nor
0123,SPYDEBERG,no_0123,no_nor
0124,ASKIM,no_0124,no_nor
0125,EIDSBERG,no_0125,no_nor
0127,SKIPTVET,no_0127,no_nor
0128,RAKKESTAD,no_0128,no_nor
0135,RÅDE,no_0135,no_nor
0136,RYGGE,no_0136,no_nor
0137,VÅLER,no_0137,no_nor
0138,HOBØL,no_0138,no_nor
0211,VESTBY,no_0211,no_nor
0213,SKI,no_0213,no_nor
0214,ÅS,no_0214,no_nor
0215,FROGN,no_0215,no_nor
0216,NESODDEN,no_0216,no_nor
0217,OPPEGÅRD,no_0217,no_nor
0219,BÆRUM,no_0219,no_nor
0220,ASKER,no_0220,no_nor
0221,AURSKOG-HØLAND,no_0221,no_nor
0226,SØRUM,no_0226,no_nor
