code,name,id,region:id
LN,Hoče - Slivnica,l10n_it_base.si_c_113,l10n_it_base.si_r_008
LI,Hodoš,l10n_it_base.si_c_114,l10n_it_base.si_r_009
LJ,Horjul,l10n_it_base.si_c_115,l10n_it_base.si_r_007
L1,Logatec,l10n_it_base.si_c_116,l10n_it_base.si_r_007
LT,Postojna,l10n_it_base.si_c_118,l10n_it_base.si_r_005
L2,Ig,l10n_it_base.si_c_121,l10n_it_base.si_r_007
LO,Ilirska Bistrica,l10n_it_base.si_c_122,l10n_it_base.si_r_005
LD,Ivančna Gorica,l10n_it_base.si_c_124,l10n_it_base.si_r_007
LP,Ormož,l10n_it_base.si_c_125,l10n_it_base.si_r_008
L3,Izola,l10n_it_base.si_c_127,l10n_it_base.si_r_006
L4,Pesnica,l10n_it_base.si_c_128,l10n_it_base.si_r_008
L5,Laško,l10n_it_base.si_c_133,l10n_it_base.si_r_010
M1,Sveti Jurij ob Ščavnici,l10n_it_base.si_c_134,l10n_it_base.si_r_009
M2,Juršinci,l10n_it_base.si_c_135,l10n_it_base.si_r_008
MB,Kamnik,l10n_it_base.si_c_140,l10n_it_base.si_r_007
M3,Tabor,l10n_it_base.si_c_143,l10n_it_base.si_r_010
ME,Kobilje,l10n_it_base.si_c_148,l10n_it_base.si_r_009
M4,Kočevje,l10n_it_base.si_c_149,l10n_it_base.si_r_003
M5,Komen,l10n_it_base.si_c_153,l10n_it_base.si_r_006
MZ,Komenda,l10n_it_base.si_c_154,l10n_it_base.si_r_007
M6,Miren - Kostanjevica,l10n_it_base.si_c_158,l10n_it_base.si_r_002
MK,Kostanjevica na Krki,l10n_it_base.si_c_159,l10n_it_base.si_r_011
MI,Kostel,l10n_it_base.si_c_160,l10n_it_base.si_r_003
MP,Pivka,l10n_it_base.si_c_161,l10n_it_base.si_r_005
ML,Ravne na Koroškem,l10n_it_base.si_c_162,l10n_it_base.si_r_004
M7,Hrpelje - Kozina,l10n_it_base.si_c_163,l10n_it_base.si_r_006
MV,Tržič,l10n_it_base.si_c_169,l10n_it_base.si_r_001
MT,Gornji Petrovci,l10n_it_base.si_c_170,l10n_it_base.si_r_009
M8,Križevci,l10n_it_base.si_c_171,l10n_it_base.si_r_009
MS,Kuzma,l10n_it_base.si_c_177,l10n_it_base.si_r_009
MU,Slovenska Bistrica,l10n_it_base.si_c_178,l10n_it_base.si_r_008
NA,Lenart,l10n_it_base.si_c_181,l10n_it_base.si_r_008
NZ,Lendava,l10n_it_base.si_c_182,l10n_it_base.si_r_009
NG,Ljubljana,l10n_it_base.si_c_190,l10n_it_base.si_r_007
NM,Ljubno,l10n_it_base.si_c_197,l10n_it_base.si_r_010
OD,Ljutomer,l10n_it_base.si_c_198,l10n_it_base.si_r_009
OP,Slovenske Konjice,l10n_it_base.si_c_199,l10n_it_base.si_r_010
OR,Log - Dragomer,l10n_it_base.si_c_201,l10n_it_base.si_r_007
OS,Lovrenc na Pohorju,l10n_it_base.si_c_209,l10n_it_base.si_r_008
PE,Luče,l10n_it_base.si_c_210,l10n_it_base.si_r_010
PI,Majšperk,l10n_it_base.si_c_213,l10n_it_base.si_r_008
PV,Makole,l10n_it_base.si_c_214,l10n_it_base.si_r_008
PC,Starše,l10n_it_base.si_c_220,l10n_it_base.si_r_008
P1,Markovci,l10n_it_base.si_c_221,l10n_it_base.si_r_008
P2,Medvode,l10n_it_base.si_c_225,l10n_it_base.si_r_007
P3,Mengeš,l10n_it_base.si_c_226,l10n_it_base.si_r_007
PL,Mežica,l10n_it_base.si_c_228,l10n_it_base.si_r_004
PO,Miklavž na Dravskem polju,l10n_it_base.si_c_229,l10n_it_base.si_r_008
PR,Mirna,l10n_it_base.si_c_232,l10n_it_base.si_r_003
P4,Mirna Peč,l10n_it_base.si_c_233,l10n_it_base.si_r_003
P5,Mislinja,l10n_it_base.si_c_234,l10n_it_base.si_r_004
PT,Mokronog - Trebelno,l10n_it_base.si_c_236,l10n_it_base.si_r_003
PU,Moravče,l10n_it_base.si_c_237,l10n_it_base.si_r_007
R1,Mozirje,l10n_it_base.si_c_241,l10n_it_base.si_r_010
R2,Murska Sobota,l10n_it_base.si_c_242,l10n_it_base.si_r_009
R3,Muta,l10n_it_base.si_c_244,l10n_it_base.si_r_004
R4,Naklo,l10n_it_base.si_c_245,l10n_it_base.si_r_001
RA,Nazarje,l10n_it_base.si_c_246,l10n_it_base.si_r_010
R5,Bloke,l10n_it_base.si_c_251,l10n_it_base.si_r_005
R6,Odranci,l10n_it_base.si_c_255,l10n_it_base.si_r_009
R7,Oplotnica,l10n_it_base.si_c_256,l10n_it_base.si_r_008
RV,Osilnica,l10n_it_base.si_c_260,l10n_it_base.si_r_003
RI,Podvelka,l10n_it_base.si_c_262,l10n_it_base.si_r_004
R8,Piran,l10n_it_base.si_c_267,l10n_it_base.si_r_006
RS,Podčetrtek,l10n_it_base.si_c_275,l10n_it_base.si_r_010
RG,Slovenj Gradec,l10n_it_base.si_c_278,l10n_it_base.si_r_004
RO,Podlehnik,l10n_it_base.si_c_281,l10n_it_base.si_r_008
RU,Rogaška Slatina,l10n_it_base.si_c_284,l10n_it_base.si_r_010
SD,Poljčane,l10n_it_base.si_c_291,l10n_it_base.si_r_008
SA,Polzela,l10n_it_base.si_c_293,l10n_it_base.si_r_010
SB,Prebold,l10n_it_base.si_c_298,l10n_it_base.si_r_010
SC,Preddvor ,l10n_it_base.si_c_299,l10n_it_base.si_r_001
SD,Prevalje,l10n_it_base.si_c_303,l10n_it_base.si_r_004
SE,Šmartno pri Litiji,l10n_it_base.si_c_305,l10n_it_base.si_r_007
SF,Ptuj,l10n_it_base.si_c_309,l10n_it_base.si_r_008
SG,Radeče,l10n_it_base.si_c_313,l10n_it_base.si_r_010
SH,Radenci,l10n_it_base.si_c_314,l10n_it_base.si_r_009
