"id","name","shortcut","domain"
"l10n_it_base.si_sp","Samostojni podjetnik","SP","partner"
"l10n_it_base.si_dno","d.n.o.","d.n.o.","partner"
"l10n_it_base.si_kd","k.d.","k.d.","partner"
"l10n_it_base.si_dd","d.d.","d.d.","partner"
"l10n_it_base.si_doo","d.o.o.","d.o.o.","partner"
"l10n_it_base.si_kdd","k.d.d.","k.d.d.","partner"
"l10n_it_base.si_td","t.d.","t.d.","partner"
