id,name,province_id:id,zip,phone_prefix,istat_code,cadaster_code,web_site
l10n_it_base.si_73,Dol pri Ljubljani,l10n_it_base.si_c_073,1262,386,251,245,
l10n_it_base.si_74,Dole pri Litiji,l10n_it_base.si_c_074,1273,386,251,245,
l10n_it_base.si_75,Dolenja vas,l10n_it_base.si_c_075,1331,386,251,245,
l10n_it_base.si_76,Dolenjske Toplice,l10n_it_base.si_c_076,8350,386,251,245,
l10n_it_base.si_77,Domžale,l10n_it_base.si_c_062,1230,386,251,245,
l10n_it_base.si_78,Dornava,l10n_it_base.si_c_078,2252,386,251,245,
l10n_it_base.si_79,Dornberk,l10n_it_base.si_c_025,5294,386,251,245,
l10n_it_base.si_80,Draga,l10n_it_base.si_c_080,1319,386,251,245,
l10n_it_base.si_81,Dragatuš,l10n_it_base.si_c_001,8343,386,251,245,
l10n_it_base.si_82,Dramlje,l10n_it_base.si_c_082,3222,386,251,245,
l10n_it_base.si_83,Dravograd,l10n_it_base.si_c_083,2370,386,251,245,
l10n_it_base.si_84,Duplje,l10n_it_base.si_c_084,4203,386,251,245,
l10n_it_base.si_85,Dutovlje,l10n_it_base.si_c_085,6221,386,251,245,
l10n_it_base.si_86,Dvor,l10n_it_base.si_c_086,8361,386,251,245,
l10n_it_base.si_87,Fala,l10n_it_base.si_c_010,2343,386,251,245,
l10n_it_base.si_88,Fokovci,l10n_it_base.si_c_018,9208,386,251,245,
l10n_it_base.si_89,Fram,l10n_it_base.si_c_089,2313,386,251,245,
l10n_it_base.si_90,Frankolovo,l10n_it_base.si_c_090,3213,386,251,245,
l10n_it_base.si_91,Gabrovka,l10n_it_base.si_c_074,1274,386,251,245,
l10n_it_base.si_92,Globoko,l10n_it_base.si_c_005,8254,386,251,245,
l10n_it_base.si_93,Godovič,l10n_it_base.si_c_055,5275,386,251,245,
l10n_it_base.si_94,Golnik,l10n_it_base.si_c_094,4204,386,251,245,
l10n_it_base.si_95,Gomilsko,l10n_it_base.si_c_026,3303,386,251,245,
l10n_it_base.si_96,Gorenja vas,l10n_it_base.si_c_096,4224,386,251,245,
l10n_it_base.si_97,Gorica pri Slivnici,l10n_it_base.si_c_082,3263,386,251,245,
l10n_it_base.si_98,Gorišnica,l10n_it_base.si_c_098,2272,386,251,245,
l10n_it_base.si_99,Gornja Radgona,l10n_it_base.si_c_099,9250,386,251,245,
l10n_it_base.si_100,Gornji Grad,l10n_it_base.si_c_100,3342,386,251,245,
l10n_it_base.si_101,Gozd Martuljek,l10n_it_base.si_c_101,4282,386,251,245,
l10n_it_base.si_102,Gračišče,l10n_it_base.si_c_054,6272,386,251,245,
l10n_it_base.si_103,Grad,l10n_it_base.si_c_103,9264,386,251,245,
l10n_it_base.si_104,Gradac,l10n_it_base.si_c_104,8332,386,251,245,
l10n_it_base.si_105,Grahovo,l10n_it_base.si_c_007,1384,386,251,245,
l10n_it_base.si_106,Grahovo ob Bači,l10n_it_base.si_c_106,5242,386,251,245,
l10n_it_base.si_107,Grgar,l10n_it_base.si_c_025,5251,386,251,245,
l10n_it_base.si_108,Griže,l10n_it_base.si_c_108,3302,386,251,245,
l10n_it_base.si_109,Grobelno,l10n_it_base.si_c_082,3231,386,251,245,
l10n_it_base.si_110,Grosuplje,l10n_it_base.si_c_110,1290,386,251,245,
l10n_it_base.si_111,Hajdina,l10n_it_base.si_c_111,2288,386,251,245,
l10n_it_base.si_112,Hinje,l10n_it_base.si_c_086,8362,386,251,245,
l10n_it_base.si_113,Hoče,l10n_it_base.si_c_113,2311,386,251,245,
l10n_it_base.si_114,Hodoš/Hodos,l10n_it_base.si_c_114,9205,386,251,245,
l10n_it_base.si_115,Horjul,l10n_it_base.si_c_115,1354,386,251,245,
l10n_it_base.si_116,Hotedršica,l10n_it_base.si_c_116,1372,386,251,245,
l10n_it_base.si_117,Hrastnik,l10n_it_base.si_c_072,1430,386,251,245,
l10n_it_base.si_118,Hruševje,l10n_it_base.si_c_118,6225,386,251,245,
l10n_it_base.si_119,Hrušica,l10n_it_base.si_c_016,4276,386,251,245,
l10n_it_base.si_120,Idrija,l10n_it_base.si_c_055,5280,386,251,245,
l10n_it_base.si_121,Ig,l10n_it_base.si_c_121,1292,386,251,245,
l10n_it_base.si_122,Ilirska Bistrica,l10n_it_base.si_c_122,6250,386,251,245,
l10n_it_base.si_123,Ilirska Bistrica-Trnovo,l10n_it_base.si_c_122,6251,386,251,245,
l10n_it_base.si_124,Ivančna Gorica,l10n_it_base.si_c_124,1295,386,251,245,
l10n_it_base.si_125,Ivanjkovci,l10n_it_base.si_c_125,2259,386,251,245,
l10n_it_base.si_126,Izlake,l10n_it_base.si_c_050,1411,386,251,245,
l10n_it_base.si_127,Izola/Isola,l10n_it_base.si_c_127,6310,386,251,245,
l10n_it_base.si_128,Jakobski Dol,l10n_it_base.si_c_128,2222,386,251,245,
l10n_it_base.si_129,Jarenina,l10n_it_base.si_c_128,2221,386,251,245,
l10n_it_base.si_130,Jelšane,l10n_it_base.si_c_122,6254,386,251,245,
l10n_it_base.si_131,Jesenice,l10n_it_base.si_c_016,4270,386,251,245,
